id,flights,city,country
1,1786,London,UK
2,1611,Atlanta,US
3,1216,Chicago,US
4,935,Beijing,China
5,926,Paris,France
6,1308,New York,US
7,900,Dallas-Fort Worth,US
8,788,Los Angeles,US
9,699,Washington,US
10,670,Shanghai,China
11,609,Miami,US
12,598,Istanbul,Others
13,586,Charlotte,US
14,585,Amsterdam,Others
15,580,Houston,US
16,576,Frankfurt,Germany
17,552,Philadelphia,US
18,544,Denver,US
19,518,Moscow,Others
20,513,Guangzhou,China
21,501,Rome,Italy
22,474,Phoenix,US
23,471,Munich,Germany
24,470,Tokyo,Others
25,420,Barcelona,Spain
26,417,Berlin,Germany
27,410,Madrid,Spain
28,398,Toronto,Others
29,389,Chengdu,China
30,386,Detroit,US
31,382,San Francisco,US
32,372,Duesseldorf,Germany
33,368,Minneapolis,US
34,367,Shenzhen,China
35,365,Seattle,US
36,357,Stockholm,Others
37,343,Copenhagen,Others
38,337,Xi'an,China
39,332,Palma de Mallorca,Spain
40,327,Orlando,US
41,308,Las Vegas,US
42,308,Kunming,China
43,302,Manchester,UK
44,296,Oslo,Others
45,278,Hangzhou,China
46,278,Malaga,Spain
47,272,Salt Lake City,US
48,271,Mexico City,Others
49,269,Baltimore,US
50,252,Boston,US
51,238,Wuhan,China
52,236,Dublin,Others
53,234,Brussels,Others
54,234,Alicante,Spain
55,232,Chongqing,China
56,227,Hamburg,Germany
57,226,Portland,US
58,224,Montreal,Others
59,222,Xiamen,China
60,218,Tampa,US
61,212,Nanjing,China
62,208,Zhengzhou,China
63,203,Cologne,Germany
64,202,Qingdao,China
65,202,Milano,Italy
66,201,San Diego,US
67,199,New Orleans,US
68,198,Changcha,China
69,198,Urumqi,China
70,191,St. Louis,US
71,190,Seoul,Others
72,189,Tenerife,Spain
73,187,Dalian,China
74,183,Vancouver,Others
75,176,St. Petersburg,Others
76,174,Shenyang,China
77,174,Stuttgart,Germany
78,173,Edinburgh,UK
79,172,Fort Lauderdale,US
80,170,Vienna,Others
81,167,Nice,France
82,163,Geneva,Others
83,160,Hong Kong,Others
84,159,Sydney,Others
85,157,Marseille,France
86,156,Harbin,China
87,154,Nashville,US
88,153,Cleveland,US
89,153,Raleigh-durham,US
90,152,BRISTOL,UK
91,150,Charleroi,Others
92,150,Osaka,Others
93,149,Kansas City,US
94,149,Bangkok,Others
95,148,Taipei,Others
96,146,Ibiza,Spain
97,144,Taiyuan,China
98,143,Austin,US
99,142,Pittsburgh,US
100,142,Lisbon,Others
101,142,Gran Canaria,Spain
102,141,Cancun,Others
103,141,Zurich,Others
104,140,Abu Dhabi,Others
105,140,Guiyang,China
106,137,Venice,Italy
107,136,Jinan,China
108,134,Cincinnati,US
109,134,Nanning,China
110,134,Mulhouse,France
111,133,Faro,Others
112,133,Lyon,France
113,130,Columbus,US
114,130,Indianapolis,US
115,130,Calgary,Others
116,128,Fuzhou,China
117,128,Pisa,Italy
118,127,Honolulu,US
119,126,Bergamo,Italy
120,124,San Antonio,US
121,123,Milwaukee,US
122,120,Haikou,China
123,120,Catania,Italy
124,119,Helsinki,Others
125,118,Bologna,Italy
126,116,Tianjin,China
127,115,Singapore,Others
128,112,Porto,Others
129,111,Birmingham,UK
130,110,Nanchang,China
131,110,Liverpool,UK
132,109,Brisbane,Others
133,108,San Jose,US
134,108,Warsaw,Others
135,107,Guilin,China
136,107,Arrecife,Spain
137,107,Valencia,Spain
138,106,Malta,Others
139,106,Sanya,China
140,103,Athens,Others
141,102,Dubai,Others
142,101,East Midlands,UK
143,100,Hohhot,China
144,99,Memphis,US
145,98,Sacramento,US
146,98,Wenzhou,China
147,96,Fort Myers,US
148,96,Gothenborg,Others
149,96,Thessaloniki,Others
150,96,Hefei,China
151,96,Lanzhou,China
152,94,Krakow,Others
153,94,Marrakech,Others
154,93,Windsor Locks,US
155,93,Changchun,China
156,92,Beauvais,France
157,91,Prague,Others
158,91,Toulouse,France
159,89,Fuerteventura,Spain
160,89,Sevilla,Spain
161,88,Ninbo,China
162,88,Gerona,Spain
163,88,Nantes,France
164,87,Oakland,US
165,86,Bergen,Others
166,86,Guadalajara,Others
167,86,Nagoya,Others
168,86,Wuxi,China
169,86,Hahn,Germany
170,85,Budapest,Others
171,85,Melbourne,Others
172,84,Naples,Italy
173,81,Louisville,US
174,80,Charleston,US
175,80,Billund,Others
176,80,San Juan,Others
177,80,Glasgow,UK
178,80,Milan,Italy
179,79,Jacksonville,US
180,78,Santa Ana,US
181,78,Nairobi,Others
182,78,Yinchuan,China
183,78,Hannover,Germany
184,77,Heraklion,Others
185,77,Tel-aviv,Others
186,76,Anchorage,US
187,76,Weeze,Germany
188,75,Albuquerque,US
189,75,Oklahoma City,US
190,74,Norfolk,US
191,74,Rygge,Others
192,73,Bilbao,Spain
193,72,Zhuhai,China
194,71,Antalya,Others
195,71,Novosibirsk,Others
196,71,Newcastle,UK
197,71,Nuernberg,Germany
198,70,Bremen,Germany
199,70,Bari,Italy
200,70,Cagliari,Italy
201,69,Chania,Others
202,68,Richmond,US
203,68,Ankara,Others
204,68,Sao Paulo,Others
205,68,Yantai,China
206,68,Bordeaux,France
207,67,Birmingham,US
208,67,Omaha,US
209,67,Edmonton,Others
210,65,Buffalo,US
211,65,San Jose Del Cabo,Others
212,64,Dayton,US
213,64,Rochester,US
214,64,Eindhoven,Others
215,64,Monterrey,Others
216,64,Leeds,UK
217,64,Palermo,Italy
218,63,Ottawa,Others
219,62,Albany,US
220,62,West Palm Beach,US
221,62,Fukuoka,Others
222,62,Kerkyra/corfu,Others
223,62,Riga,Others
224,61,Doha,Others
225,60,Tucson,US
226,60,Panama City,Others
227,60,Puerto Vallarta,Others
228,60,Punta Cana,Others
229,59,Johannesburg,Others
230,59,Stavanger,Others
231,58,Changzhou,China
232,58,Alghero,Italy
233,58,Treviso,Italy
234,57,Xining,China
235,56,Sapporo,Others
236,56,Shijiazhuang,China
237,56,Torino,Italy
238,55,Halifax,Others
239,54,Little Rock,US
240,54,Reno,US
241,54,Dubrovnik,Others
242,54,Rhodos,Others
243,54,Trondheim,Others
244,54,Trapani,Italy
245,53,Larnaca,Others
246,53,Perth,Others
247,52,Greenville,US
248,52,Kahului,US
249,52,Agana,Others
250,52,Yuncheng,China
251,52,Santiago,Spain
252,51,Providence,US
253,51,Tulsa,US
254,50,Knoxville,US
255,50,Kuala Lumpur,Others
256,50,Macau,Others
257,50,Montego Bay,Others
258,50,Nassau,Others
259,50,Paphos,Others
260,50,Belfast,UK
261,49,Bucharest,Others
262,49,San Jose,Others
263,48,Grand Rapids,US
264,48,Ontario,US
265,48,Auckland,Others
266,48,Vilnius,Others
267,48,Quanzhou,China
268,48,Florence,Italy
269,48,Olbia,Italy
270,47,Des Moines,US
271,47,El Paso,US
272,47,Okinawa,Others
273,47,Lijiang,China
274,46,Lima,Others
275,44,Akron,US
276,44,Syracuse,US
277,44,Split,Others
278,44,Wroclaw,Others
279,44,Shantou,China
280,43,Greensboro,US
281,42,Bentonville,US
282,42,Columbia,US
283,42,Sandefjord,Others
284,42,Prestwick,UK
285,41,Bogota,Others
286,41,Kiev,Others
287,41,San Salvador,Others
288,40,Manchester NH,US
289,40,Savannah,US
290,40,Santiago,Others
291,40,Shannon,Others
292,40,Zadar,Others
293,40,Lamezia,Italy
294,40,Bastia,France
295,39,Boise,US
296,39,Palm Springs,US
297,39,Dakar,Others
298,38,Addis Ababa,Others
299,38,Amman,Others
300,38,Belgrade,Others
301,38,Cairns,Others
302,38,Kaunas,Others
303,38,Rio De Janeiro,Others
304,38,Karlsruhe/Baden-Baden,Germany
305,38,Brindisi,Italy
306,37,Buenos Aires,Others
307,37,Kos,Others
308,36,Huntsville,US
309,36,Jackson,US
310,36,Pensacola,US
311,36,Wichita,US
312,36,Bahrain,Others
313,36,Khabarovsk,Others
314,36,Baotou,China
315,36,Bournemouth,UK
316,36,Dresden,Germany
317,36,Leipzig,Germany
318,36,Menorca,Spain
319,36,Santander,Spain
320,35,Gdansk,Others
321,35,Guatemala City,Others
322,35,Cardiff,UK
323,34,Fresno,US
324,34,Lihue,US
325,34,Bratislava,Others
326,34,Dalaman,Others
327,34,Hermosillo,Others
328,34,Oranjestad,Others
329,34,Salzburg,Others
330,34,Tallinn-ulemiste International,Others
331,34,Vladivostok,Others
332,34,Dortmund,Germany
333,34,Memmingen,Germany
334,34,Ajaccio,France
335,33,Delhi,Others
336,33,St. Thomas,Others
337,32,Burbank,US
338,32,Madison,US
339,32,Aalborg,Others
340,32,Casablanca,Others
341,32,Douala,Others
342,32,Kuwait,Others
343,32,Philipsburg,Others
344,32,Winnipeg,Others
345,32,Yangzhou,China
346,32,Villafranca,Italy
347,31,Kona,US
348,31,Antigua,Others
349,31,Sofia,Others
350,31,Reus,Spain
351,30,Harrisburg,US
352,30,Lexington KY,US
353,30,Myrtle Beach,US
354,30,Baku,Others
355,30,Darwin,Others
356,30,Luxemburg,Others
357,30,Providenciales,Others
358,30,Yiwu,China
359,29,Islip,US
360,29,Jakarta,Others
361,29,Jeddah,Others
362,29,Santo Domingo,Others
363,28,Spokane,US
364,28,White Plains,US
365,28,Adelaide,Others
366,28,Cairo,Others
367,28,Cork,Others
368,28,Fes,Others
369,28,Funchal,Others
370,28,Phuket,Others
371,28,Sendai,Others
372,28,Zagreb,Others
373,28,Jingdezhen,China
374,28,Lhasa,China
375,28,Aberdeen,UK
376,28,Murcia,Spain
377,28,Genoa,Italy
378,28,Lille,France
379,27,Key West,US
380,26,Charlottesville VA,US
381,26,Chattanooga,US
382,26,Flint,US
383,26,Tallahassee,US
384,26,Wilmington,US
385,26,Bermuda,Others
386,26,Georgetown,Others
387,26,Ho Chi Minh City,Others
388,26,Liberia,Others
389,26,Manila,Others
390,26,Mumbai,Others
391,26,Port-au-prince,Others
392,26,Rostov,Others
393,26,Yerevan,Others
394,26,Changzhi,China
395,26,Huangshan,China
396,26,Southend,UK
397,26,Montpellier,France
398,25,Colorado Springs,US
399,25,Enfidha,Others
400,25,Hewandorra,Others
401,25,Yancheng,China
402,25,Strasbourg,France
403,24,Roanoke VA,US
404,24,Bodrum,Others
405,24,Cheju,Others
406,24,Connaught,Others
407,24,Cozumel,Others
408,24,Harare,Others
409,24,Kigali,Others
410,24,Lagos,Others
411,24,Muscat,Others
412,24,Poznan,Others
413,24,Tirana,Others
414,24,Tromso,Others
415,24,Beihai,China
416,24,Dayong,China
417,24,Jiuzhaigou,China
418,23,Burlington,US
419,22,Cedar Rapids,US
420,22,Moline,US
421,22,Peoria,US
422,22,Abidjan,Others
423,22,Algier,Others
424,22,Caracas,Others
425,22,Hanoi,Others
426,22,Hurghada,Others
427,22,Jersey,Others
428,22,Lusaka,Others
429,22,Ouagadougou,Others
430,22,Pristina,Others
431,22,Sharm El Sheikh,Others
432,22,St. John's,Others
433,22,Yekaterinburg,Others
434,22,Huangyan,China
435,22,Yanji,China
436,22,Yichang,China
437,22,Almeria,Spain
438,22,Ronchi De Legionari,Italy
439,22,Calvi,France
440,21,Springfield,US
441,21,Valparaiso,US
442,21,Pula,Others
443,21,Regina,Others
444,20,Fort Wayne,US
445,20,Gainesville,US
446,20,Sarasota,US
447,20,Agadir,Others
448,20,Alma-ata,Others
449,20,Belize City,Others
450,20,Chiang Mai,Others
451,20,Dammam,Others
452,20,Del Bajio,Others
453,20,Entebbe,Others
454,20,Hiroshima,Others
455,20,Irkutsk,Others
456,20,Kinshasa,Others
457,20,Quebec,Others
458,20,Sochi,Others
459,20,Tampere,Others
460,20,Tashkent,Others
461,20,Lianyungang,China
462,20,Linyi,China
463,20,Zhanjiang,China
464,20,Carcassonne,France
465,19,Amarillo,US
466,19,Lubbock,US
467,19,Accra,Others
468,19,Busan,Others
469,19,Chihuahua,Others
470,19,Denpasar,Others
471,19,Quito,Others
472,19,Tunis,Others
473,18,Allentown,US
474,18,Bloomington,US
475,18,Fargo,US
476,18,Gulfport,US
477,18,Mobile,US
478,18,Monterey,US
479,18,Abuja,Others
480,18,Alesund,Others
481,18,Alice Springs,Others
482,18,Haugesund,Others
483,18,Izmir,Others
484,18,Male,Others
485,18,Mazatlan,Others
486,18,Nandi,Others
487,18,Saskatoon,Others
488,18,Tbilisi,Others
489,18,Dazhou,China
490,18,Jinghonggasa,China
491,18,Kashi,China
492,18,Mianyang,China
493,18,Xiangfan,China
494,18,Zhoushan,China
495,18,Ancona,Italy
496,18,Pescara,Italy
497,18,Beziers,France
498,18,Biarritz-bayonne,France
499,18,Brest,France
500,17,Eugene,US
501,17,Midland,US
502,17,Scranton,US
503,17,Cape Town,Others
504,17,Luanda,Others
505,17,Riyadh,Others
506,17,Tijuana,Others
507,16,Asheville,US
508,16,Baton Rouge,US
509,16,Evansville,US
510,16,Fayetteville,US
511,16,Green Bay,US
512,16,Juneau,US
513,16,Ketchikan,US
514,16,Redmond-Bend,US
515,16,Sioux Falls,US
516,16,Aarhus,Others
517,16,Canberra,Others
518,16,Fort-de-france,Others
519,16,Graz,Others
520,16,Guayaquil,Others
521,16,Keflavik,Others
522,16,Maastricht,Others
523,16,Mykonos,Others
524,16,Nagasaki,Others
525,16,Niigata,Others
526,16,Pointe-a-pitre,Others
527,16,Rabat,Others
528,16,Rzeszow,Others
529,16,Townsville,Others
530,16,Dongsheng,China
531,16,Guangyuan,China
532,16,Hailar,China
533,16,Hami,China
534,16,Korla,China
535,16,Liuzhou,China
536,16,Luzhou,China
537,16,Xuzhou,China
538,16,Yibin,China
539,16,Southampton,UK
540,16,Munster,Germany
541,16,Aviles,Spain
542,16,Comiso,Italy
543,15,Harlingen,US
544,15,Beirut,Others
545,15,Kaohsiung,Others
546,15,Kingston,Others
547,15,Thira,Others
548,14,Bush Field,US
549,14,Grand Junction,US
550,14,Jacksonville NC,US
551,14,Long Beach,US
552,14,Medford,US
553,14,MONTGOMERY,US
554,14,Newport News,US
555,14,Panama City,US
556,14,Santa Barbara,US
557,14,Shreveport,US
558,14,Bishkek,Others
559,14,Broome,Others
560,14,Colombo,Others
561,14,Culiacan,Others
562,14,Dar Es Salaam,Others
563,14,El Aroui,Others
564,14,Kanazawa,Others
565,14,Katowice,Others
566,14,Ljubljana,Others
567,14,Niamey,Others
568,14,Oujda,Others
569,14,Port-of-spain,Others
570,14,Rotterdam,Others
571,14,San Pedro Sula,Others
572,14,Sarajevo,Others
573,14,Siem-reap,Others
574,14,Tselinograd,Others
575,14,Yuzhno-sakhalinsk,Others
576,14,Chifeng,China
577,14,Ganzhou,China
578,14,Mudanjiang,China
579,14,Nanyang,China
580,14,Tongliao,China
581,14,Weifang,China
582,14,Yulin,China
583,14,Zunyi,China
584,14,Westerland,Germany
585,14,Jerez,Spain
586,14,Vigo,Spain
587,14,Bergerac,France
588,14,La Rochelle,France
589,13,Fort Mcmurray,Others
590,13,Yaounde,Others
591,13,Zakynthos,Others
592,12,Alexandria,US
593,12,Appleton,US
594,12,Bakersfield,US
595,12,Bangor,US
596,12,Killeen,US
597,12,Lafayette,US
598,12,Monroe,US
599,12,Pasco,US
600,12,Rapid City,US
601,12,Santa Fe,US
602,12,Santa Rosa,US
603,12,South Bend,US
604,12,Chelyabinsk,Others
605,12,Curitiba,Others
606,12,Freeport,Others
607,12,Freetown,Others
608,12,Havana,Others
609,12,Ishigaki,Others
610,12,Kaliningrad,Others
611,12,Khudzhand,Others
612,12,Krasnodar,Others
613,12,Krasnoyarsk,Others
614,12,Kristiansand,Others
615,12,Malabo,Others
616,12,Marsh Harbor,Others
617,12,Matsuyama,Others
618,12,Merida,Others
619,12,Mineralnye Vody,Others
620,12,Miyazaki,Others
621,12,Monrovia,Others
622,12,Morelia,Others
623,12,Okayama,Others
624,12,Papeete,Others
625,12,Plaisance,Others
626,12,Roatan,Others
627,12,Tanger,Others
628,12,Tehran,Others
629,12,Torreon,Others
630,12,Victoria,Others
631,12,Villahermosa,Others
632,12,Yakutsk,Others
633,12,Yangon,Others
634,12,Zihuatanejo,Others
635,12,Datong,China
636,12,Jiamusi,China
637,12,Luoyang,China
638,12,Qiqihar,China
639,12,Shangri-La,China
640,12,Wuhai,China
641,12,Wuyishan,China
642,12,Saarbruecken,Germany
643,12,Granada,Spain
644,12,La Coruna,Spain
645,12,Clermont-Ferrand,France
646,12,Limoges,France
647,12,Rennes,France
648,11,Bujumbura,Others
649,11,Great Exuma,Others
650,11,Kilimanjaro,Others
651,11,Point Salines,Others
652,11,Puerto Plata,Others
653,10,Billings,US
654,10,Bozeman,US
655,10,BRISTOL,US
656,10,Corpus Christi,US
657,10,Daytona Beach,US
658,10,Durango,US
659,10,Fort Smith,US
660,10,Great Falls,US
661,10,Kalamazoo,US
662,10,Melbourne,US
663,10,Missoula,US
664,10,New Bern,US
665,10,State College Pennsylvania,US
666,10,Traverse City,US
667,10,Wassau,US
668,10,Aguascalientes,Others
669,10,Ashkhabad,Others
670,10,Bangalore,Others
671,10,Bourgas,Others
672,10,Bridgetown,Others
673,10,Chita,Others
674,10,Ciudad Juarez,Others
675,10,Conakry,Others
676,10,Djerba,Others
677,10,Djibouti,Others
678,10,Dushanbe,Others
679,10,Goose Bay,Others
680,10,Hakodate,Others
681,10,Islamabad,Others
682,10,Kagoshima,Others
683,10,Karratha,Others
684,10,Kathmandu,Others
685,10,Kelowna,Others
686,10,Kerry,Others
687,10,Kumamoto,Others
688,10,La Paz,Others
689,10,Linz,Others
690,10,Minsk 2,Others
691,10,Moncton,Others
692,10,Mount Isa,Others
693,10,Oran,Others
694,10,Osh,Others
695,10,Petropavlovsk,Others
696,10,Port Hartcourt,Others
697,10,Preveza,Others
698,10,Saipan,Others
699,10,Tegucigalpa,Others
700,10,Toyama,Others
701,10,Vera Cruz,Others
702,10,Willemstad,Others
703,10,Baishan,China
704,10,Dali,China
705,10,Daqing,China
706,10,Jining,China
707,10,Nanchong,China
708,10,Wanxian,China
709,10,Xilinhot,China
710,10,Londonderry,UK
711,10,Friedrichshafen,Germany
712,10,Heringsdorf,Germany
713,10,Zaragoza,Spain
714,10,Figari,France
715,10,Tours,France
716,9,Helena,US
717,9,Alta,Others
718,9,Babelthuap,Others
719,9,Brasilia,Others
720,9,Cali,Others
721,9,Managua,Others
722,9,Aksu,China
723,9,Yan'an,China
724,9,Exeter,UK
